"housing_name","housing_price","housing_district","housing_type","housing_area","housing_housemate","housing_furnish","housing_water","housing_gas","housing_electricity","housing_internet","housing_min_rental_period","housing_available_from"
"Room at Stationsplein","€625","Schiedam, Netherlands","Private room
in building","Room 19 m2
Total Unknown m2","19 housemates
(mixed)","Furnished","included","included","included","included","5 months","Room for rent from 01 Nov 2018"
"Room at Stationsplein","€600","Schiedam, Netherlands","Private room
in building","Room 17 m2
Total Unknown m2","19 housemates
(mixed)","Furnished","included","included","included","included","5 months","Room for rent from 01 Jan 2019"
"Room at Stationsplein","€575","Schiedam, Netherlands","Private room
in building","Room 17 m2
Total Unknown m2","17 housemates
(mixed)","Furnished","included","included","included","included","2 months","Room for rent from 01 Nov 2018"
"Room at Stationsplein","€850","Schiedam, Netherlands","Private room
in apartment","Room 30 m2
Total 30 m2","16 housemates
(mixed)","Furnished","included","included","included","included","3 months","Room for rent from 01 Dec 2018"
"Room at Stationsplein","€675","Schiedam, Netherlands","Private room
in building","Room 24 m2
Total 24 m2","17 housemates
(mixed)","Furnished","included","included","included","included","2 months","Room for rent from 31 Oct 2018"
"Room at IJsselmondselaan","€480","Rotterdam, Netherlands","Private room
in house","Room 12 m2
Total 12 m2","4 housemates
(mixed)","Furnished","","included","included","","7 months","Room for rent from 01 Jan 2019"
"Room at Aristotelesstraat","€650","Rotterdam, Netherlands","Private room
in apartment","Room 15 m2
Total 15 m2","Space for
5 persons (mixed)","Furnished","included","included","included","included","0 months","Room for rent from 01 Feb 2019"
"Room at Aristotelesstraat","€650","Rotterdam, Netherlands","Private room
in apartment","Room 15 m2
Total 15 m2","Space for
5 persons (mixed)","Furnished","included","included","included","included","0 months","Room for rent from 01 Jan 2019"
"Room at Aristotelesstraat","€650","Rotterdam, Netherlands","Private room
in apartment","Room 15 m2
Total 15 m2","Space for
5 persons (mixed)","Furnished","included","included","included","included","0 months","Room for rent from 16 Jan 2019"
"Room at Pleinweg","€650","Rotterdam, Netherlands","Private room
in apartment","Room 12 m2
Total 70 m2","3 housemates
(mixed)","Furnished","included","included","included","included","0 months","Room for rent from 16 Jan 2019"
"Room at Aristotelesstraat","€500","Rotterdam, Netherlands","Private room
in apartment","Room 10 m2
Total 10 m2","Space for
1 person","Furnished","included","included","included","included","6 months","Room for rent from 31 Oct 2018"
"Room at Aristotelesstraat","€500","Rotterdam, Netherlands","Private room
in apartment","Room 10 m2
Total 10 m2","Space for
1 person","Furnished","included","included","included","included","6 months","Room for rent from 31 Oct 2018"
